"subjectID","Source","n_obs","activityIndex","activityDesc","mean_bodyaccel_x","mean_BodyAcc_X","mean_tBodyAcc_Y","std_tBodyAcc_Y","mean_tGravityAcc_Y","mean_tGravityAcc_Z","std_tGravityAcc_Z","mean_tBodyAccJerk_Z","std_tBodyAccJerk_Z","mean_tBodyGyro_Z","std_tBodyGyro_Z","mean_tBodyGyroJerk_Z","std_tBodyGyroJerk_Z","mean_fBodyAcc_Y","std_fBodyAcc_Y","meanFreq_fBodyAcc_Y","mean_fBodyAccJerk_Y","std_fBodyAccJerk_Y","meanFreq_fBodyAccJerk_Y","mean_fBodyGyro_Y","std_fBodyGyro_Y","meanFreq_fBodyGyro_Y","mean_tBodyAcc_Z","std_tBodyAcc_Z","std_tGravityAcc_X","mean_tBodyAccJerk_X","std_tBodyAccJerk_X","mean_tBodyGyro_X","std_tBodyGyro_X","mean_tBodyGyroJerk_X","std_tBodyGyroJerk_X","mean_fBodyAcc_Z","std_fBodyAcc_Z","meanFreq_fBodyAcc_Z","mean_fBodyAccJerk_Z","std_fBodyAccJerk_Z","meanFreq_fBodyAccJerk_Z","mean_fBodyGyro_Z","std_fBodyGyro_Z","meanFreq_fBodyGyro_Z","mean_tBodyAcc_X","std_tBodyAcc_X","mean_tGravityAcc_X","std_tGravityAcc_Y","mean_tBodyAccJerk_Y","std_tBodyAccJerk_Y","mean_tBodyGyro_Y","std_tBodyGyro_Y","mean_tBodyGyroJerk_Y","std_tBodyGyroJerk_Y","mean_fBodyAcc_X","std_fBodyAcc_X","meanFreq_fBodyAcc_X","mean_fBodyAccJerk_X","std_fBodyAccJerk_X","meanFreq_fBodyAccJerk_X","mean_fBodyGyro_X","std_fBodyGyro_X","meanFreq_fBodyGyro_X","meanFreq_fBodyBodyAccJerkMag","meanFreq_fBodyBodyGyroMag","meanFreq_fBodyBodyGyroJerkMag","mean_fBodyAccMag","mean_fBodyBodyAccJerkMag","mean_fBodyBodyGyroMag","mean_fBodyBodyGyroJerkMag","std_fBodyAccMag","std_fBodyBodyAccJerkMag","std_fBodyBodyGyroMag","std_fBodyBodyGyroJerkMag","meanFreq_fBodyAccMag","mean_tGravityAccMag","std_tBodyAccJerkMag","mean_tBodyGyroJerkMag","mean_tBodyAccMag","std_tGravityAccMag","mean_tBodyGyroMag","std_tBodyGyroJerkMag","std_tBodyAccMag","mean_tBodyAccJerkMag","std_tBodyGyroMag"
1,"TRAIN",95,1,"WALKING",0.277330758736842,0.277330758736842,-0.0173838185273684,0.114461336747368,-0.282165021263158,-0.068102864,-0.947717226105264,-0.00416840617789474,-0.502699788526316,0.0849448173042105,-0.344266629473684,-0.0461309295021053,-0.404255452631579,0.0897127264021053,0.056040006846,0.113093646103158,-0.0352255241130632,0.106739857136,-0.386237143210526,-0.103059416434737,-0.033508159788421,-0.0657746190010526,-0.111148103547368,-0.260027902210526,-0.976609642526316,0.0740416333157895,-0.11361560243579,-0.041830963526,-0.473535485894737,-0.0899975423705263,-0.207421854757895,-0.331560117789474,-0.279686751494737,0.0497265196172632,-0.468999224631579,-0.534713440421053,-0.185530281244211,-0.255940940315789,-0.436562227473684,0.000773321564315785,0.277330758736842,-0.283740258842105,0.935223201473684,-0.971305961473684,0.028272109588421,0.0670025007684211,-0.0695300462115789,-0.0546077686594737,-0.0398428709463158,-0.304468510631579,-0.202794306326316,-0.319134719578947,-0.207548374494737,-0.170546964549579,-0.133586606326316,-0.209261973376842,-0.339032197115789,-0.516691938736842,0.0147844986621053,0.0938221807027368,0.268844367525895,0.190663448793684,-0.128623450629474,-0.0571194000343157,-0.199252568986316,-0.319308593778947,-0.398032586842105,-0.103492403002105,-0.321017953894737,-0.381601911789474,0.1906437244,-0.136971176556842,-0.0744717500625263,-0.29870367908421,-0.136971176556842,-0.219688645631579,-0.160979552536842,-0.325324878894737,-0.219688645631579,-0.141428809031579,-0.186978364526316
2,"TEST",59,1,"WALKING",0.276426586440678,0.276426586440678,-0.0185949199145763,-0.0780912533118644,-0.34660709,0.0847270871186441,-0.972072847627119,0.0078953370661017,-0.586090418983051,0.0828336633220339,-0.481085535084746,-0.0514939156830509,-0.435492677288136,-0.0219048103322034,-0.16921968620339,0.198586466508475,-0.0787640836610169,-0.0153329520084746,-0.263574018186441,-0.55477211220339,-0.533046952542373,-0.0427009322372881,-0.105500357966102,-0.425257524915254,-0.972693201355932,0.0618080696279661,-0.277530462620339,-0.0530258157347457,-0.561550255762712,-0.0818833429152543,-0.389549831525424,-0.453806369830509,-0.455222146440678,0.0688995208186441,-0.554956709661017,-0.615898188474576,-0.254846438755932,-0.396659907457627,-0.559856635084746,0.139752115269492,0.276426586440678,-0.423642838474576,0.913017333389831,-0.972116879661017,0.0182492679288136,-0.0166022362847458,-0.0482382316949153,-0.53845366779661,-0.0538299449067797,-0.634140436101695,-0.346048161016949,-0.457651383728813,-0.14579548970339,-0.304615322881356,-0.31431306340678,-0.0727101584479661,-0.429713536101695,-0.604053019152543,0.00727967988474576,0.20750092670339,0.305283825254237,0.126344614439491,-0.324289427932204,-0.169064352813559,-0.530704814745763,-0.583249293389831,-0.577105211694915,-0.164091969449153,-0.651792839661017,-0.558104554745763,0.393206208305085,-0.290407593728813,-0.164150985127119,-0.547911950338983,-0.290407593728813,-0.422544169322034,-0.446549092881356,-0.557798151355932,-0.422544169322034,-0.281424153881356,-0.553019916271186
3,"TRAIN",58,1,"WALKING",0.275567462068966,0.275567462068966,-0.0171767844203448,-0.0699140652103448,-0.261986357931034,-0.138107866258621,-0.952091795,-0.00562264594827587,-0.52948611637931,0.0813485942827586,-0.476696411551724,-0.0503616100815517,-0.536664080344828,-0.0813024353275862,-0.124030832001724,0.171743003017241,-0.140508590224138,-0.0056149875536207,-0.258667984862069,-0.561526265344828,-0.568888673448276,-0.0379896505362069,-0.112674859827586,-0.387411994310345,-0.97777159137931,0.0814745882660345,-0.26867964387931,-0.0256405192517241,-0.571869560172414,-0.0952398165017241,-0.385922986034483,-0.412374074482759,-0.422998473965517,0.0748536557377586,-0.514137255344827,-0.543529108103448,-0.346946648103448,-0.418126217413793,-0.545896388103448,-0.0445079738913793,0.275567462068966,-0.360356726034483,0.936506743275862,-0.962355639482758,0.0100591485,-0.0449619594258621,-0.0779150937413793,-0.563793260172414,-0.0387874651724138,-0.639087984137931,-0.316614011689655,-0.379276781206897,-0.246614196618965,-0.304694442551724,-0.296596633103448,-0.216042668103448,-0.437845763793103,-0.615121369827586,0.0337596901293104,-0.11716398312069,0.180946463034483,0.0457622957586207,-0.290031535172414,-0.186764516965517,-0.569755772241379,-0.607751646034483,-0.456373080862069,-0.0898519904044828,-0.632643292931034,-0.549087007931034,0.113494312836207,-0.254690333275862,-0.139916355325862,-0.566135217931034,-0.254690333275862,-0.328428936551724,-0.466411754137931,-0.567371560862069,-0.328428936551724,-0.280009317413793,-0.561510683275862
4,"TEST",60,1,"WALKING",0.278582015166667,0.278582015166667,-0.0148399475341667,-0.0788267367683334,-0.0858540265666667,0.127764112666667,-0.962968112,-0.000767679338333334,-0.7513913825,0.0805677161216667,-0.662608226,-0.0551166852766667,-0.640454132833333,-0.14939963344,-0.101799450565167,0.0123477342916667,-0.279553391533333,-0.2099000063,-0.385880862833333,-0.688460056666667,-0.654657770166667,-0.27466563765,-0.11140306485,-0.586252806833333,-0.983826494833334,0.0783529082183333,-0.297042612533333,-0.0317982557795,-0.500916659,-0.115321556475,-0.492341066833333,-0.631005470833333,-0.594198325666667,-0.0787892636928333,-0.728991595666667,-0.772359087333333,-0.325737503675,-0.601381129166667,-0.716458475166667,0.149851534733333,0.278582015166667,-0.440829971333334,0.963999696833333,-0.967963221,0.00295602428666666,-0.221165131581667,-0.0726905278583333,-0.665394092833333,-0.0393474489133333,-0.807419937,-0.426719449666667,-0.447234929666667,-0.13859163673,-0.358883413666667,-0.29732607245,-0.1352803947515,-0.373384540666667,-0.542646759,-0.12715408578,0.111486484954333,0.0697301245295,0.26535537398,-0.450804558333333,-0.318587811,-0.609285588016667,-0.724327420666667,-0.651172628166667,-0.320458701,-0.593937200833333,-0.757768081166667,0.382096409966667,-0.312050574166667,-0.316918956,-0.6813040365,-0.312050574166667,-0.527679103166667,-0.49779220106,-0.7301463685,-0.527679103166667,-0.366700879833333,-0.553116111166667
5,"TRAIN",56,1,"WALKING",0.27784234625,0.27784234625,-0.0172850317482679,0.0767484028053571,-0.100440285303571,0.00247623628392857,-0.964580803928572,8.32159351785721e-05,-0.612895318571429,0.0815435495892857,-0.318700615178571,-0.0482679596035714,-0.157682543983929,0.00946037755178572,0.0426026830839286,-0.00204051097321429,-0.181055554206071,-0.0545213604089286,-0.534049822678571,-0.513951718392857,-0.502683380535714,-0.0191860123089286,-0.107741776464286,-0.45702143625,-0.979348381428571,0.0845888833571429,-0.302891024625,-0.0488919896632143,-0.490877497857143,-0.0888408355267857,-0.357681403285714,-0.490251090714286,-0.483059957321428,0.0247389728696429,-0.590496615535714,-0.633429995714286,-0.3441509245,-0.213127031035714,-0.420367075178571,0.167457819108929,0.27784234625,-0.294098534232143,0.972624959821428,-0.961585474821429,-0.0163194101232143,-0.0910397428607143,-0.0690135249642857,-0.504622029821428,-0.0449559531089286,-0.57143812375,-0.287782607410714,-0.297517355196429,-0.322382010942857,-0.344954806428572,-0.3213903195,-0.359372577678572,-0.372668749642857,-0.529392790178571,-0.0458601936214286,-0.00497287788214286,0.250620609769643,0.0527330125375,-0.304992488892857,-0.269481661080357,-0.484262828928571,-0.548053574821429,-0.519636926071429,-0.305685376071429,-0.589741506785714,-0.455665300892857,0.149852522225,-0.158338674394643,-0.282242276785714,-0.444532485357143,-0.158338674394643,-0.377178733392857,-0.355933083571429,-0.48919974625,-0.377178733392857,-0.288333024071428,-0.492176823571429
6,"TRAIN",57,1,"WALKING",0.283658868070175,0.283658868070175,-0.0168954189082456,0.164213884996491,-0.214694852280702,0.0331888826842105,-0.957205025789474,-0.00738931200701754,-0.575777466491228,0.0838808799280702,-0.383139334736842,-0.0539597284210526,-0.166684422233333,0.140781621991228,0.101699642168947,0.0220734188245614,-0.0753742321614035,0.0314450678263158,-0.466305754035088,-0.341378429473684,-0.332008706842105,0.0416267535368421,-0.110303165877193,-0.504324207192982,-0.977779896491228,0.0699585876912281,-0.132784766936842,-0.025509618645614,-0.446020952631579,-0.0878891090105263,-0.18260093354386,-0.498520164385965,-0.550474621754386,0.185107042277193,-0.541438616140351,-0.608624354210526,-0.104129449033509,-0.203575458733333,-0.512209233508772,0.302874949789474,0.283658868070175,-0.296538717368421,0.958067455087719,-0.964248568070175,-0.0164831715964912,0.00808897373684211,-0.0744462466,-0.331702267894737,-0.0362308971842105,-0.416390246140351,-0.187934323140351,-0.34522769,-0.196841736649123,-0.150942917824561,-0.19269469414386,-0.178295181261404,-0.239650710533333,-0.515323854385965,0.0912409729185965,-0.00922884645438597,0.293109613491228,0.10092473178193,-0.201386607649123,-0.055401423331579,-0.329681123368421,-0.366500534122807,-0.421683093508772,-0.0964999702982456,-0.510648322631579,-0.408078906482456,0.20009036395614,-0.166840713631579,-0.0706029648421052,-0.321290483140351,-0.166840713631579,-0.266734167368421,-0.281207841122807,-0.364708342315789,-0.266734167368421,-0.195117026052632,-0.36560291677193
7,"TRAIN",57,1,"WALKING",0.275592961754386,0.275592961754386,-0.018653665345614,-0.0772618561052632,-0.159097003684211,-0.160846924029807,-0.952159770526316,-0.0210398551649123,-0.149488514397895,0.0641104602035088,-0.396013535263158,-0.0495713093294737,-0.458302971403509,-0.0641564202736842,-0.143721823263158,0.160434129035088,-0.123192887383684,-0.0431917460807017,-0.287013819157895,-0.151966687436842,-0.290859379017544,0.273141323315789,-0.110912234947368,0.159631283261403,-0.979851271403509,0.0901462649192982,-0.346026226140351,0.00228835208526316,-0.503313517017544,-0.123654199751333,-0.21166729682807,0.0385832252345614,0.133316828089298,0.124630171101754,-0.106490372892632,-0.190751539207018,-0.244831719878947,-0.366733617894737,-0.463270018245614,0.0143564054561404,0.275592961754386,-0.327243240701754,0.932566472280702,-0.96940415508772,0.0184322723280702,-0.0547448948245614,-0.0837113724842106,-0.23109830545614,-0.0447766029745614,-0.174136410738596,-0.343048405789474,-0.322034908070175,-0.313727371842105,-0.383715797719298,-0.365314790947368,-0.284586506210526,-0.318395104666667,-0.563615256666667,0.111912537380702,-0.0127446365087719,0.300315718087719,0.000880340047368418,-0.151243649578947,-0.0384187298547369,-0.192909765467895,-0.155339855862632,-0.351706780526316,-0.022138358,-0.343894914947369,-0.0841663774087718,0.172997883545614,-0.0978090439438596,-0.027557329277193,-0.300022779964912,-0.0978090439438596,-0.198554708385965,-0.305959351403509,-0.0953401161070176,-0.198554708385965,-0.192948900438596,-0.19828316695614
8,"TRAIN",48,1,"WALKING",0.27468631,0.27468631,-0.0186628865310417,0.380782052708333,-0.217102194583333,-0.186267836962021,-0.956640104791667,-0.000673798876875002,-0.383200596479167,0.0509657915395833,-0.0754447842395833,-0.0522683965333333,-0.388446971666667,0.316982393333333,0.32484493125,0.00356163764166666,0.0796832872416667,0.315883536479167,-0.4192779011875,-0.259729692333333,-0.1908057215,-0.102881607560417,-0.107252090833333,-0.1420885318125,-0.974752050208333,0.0703393490833333,-0.2586886278125,0.0235088228254167,-0.1992097184375,-0.135886431360417,-0.2460827504375,-0.238634594791667,-0.158437341970833,0.111947205354167,-0.361563262083333,-0.4044825094375,-0.2474853992125,-0.132902199479167,-0.1429742348125,-0.218800753760417,0.27468631,-0.173605736002083,0.913586347916667,-0.956781505625,-0.00603947514583333,0.233987544458333,-0.095791790535,-0.2119972775,-0.0314880905541667,-0.428055700208333,-0.247389011875,-0.148386858858333,-0.380892405770833,-0.311198711041667,-0.271448185291667,-0.345898115416667,-0.102063053808333,-0.234252005895833,-0.176032065666667,0.176189876266667,0.0890005737952084,0.294590006666667,-0.09521728274375,-0.123834409766667,-0.301241848645833,-0.473026230833334,-0.360818978541667,-0.276436130125,-0.327459577895833,-0.581240190833333,0.204080887916667,0.0516786278104167,-0.184571053979167,-0.339129269583333,0.0516786278104167,-0.1804072826,-0.00310243820125,-0.502957255416667,-0.1804072826,-0.0668322430433333,-0.238746703958333
9,"TEST",52,1,"WALKING",0.278502842115385,0.278502842115385,-0.0180891971284423,-0.201696960826923,-0.0314341738730769,-0.115856121080385,-0.955523995576923,0.00414762740192308,-0.409764526153846,0.111629779896154,-0.265683521346154,-0.0633406620592308,-0.457881494038462,-0.257677616153846,-0.223972558596154,0.0213195015442308,-0.367706595,-0.228380473480769,-0.389047303846154,-0.436905860576923,-0.490990336346154,0.0164815831107692,-0.110820512307692,-0.0579636469030769,-0.980971973653846,0.0704357270480769,-0.206733787961538,-0.0808360598653846,-0.476163506730769,-0.0809204094461538,-0.526985309038461,-0.250806259788461,-0.0337965256573077,0.0237831761442308,-0.399541245192308,-0.419104362884615,-0.366570477826923,-0.240222512134615,-0.342367223269231,-0.152103721057692,0.278502842115385,-0.238353562692308,0.951867079615385,-0.971242423076923,0.0212255910017308,-0.276929933846154,-0.0625598710615385,-0.467054167884616,-0.0356283427038462,-0.549200228076923,-0.294711163653846,-0.218019977423077,-0.310727563365385,-0.314265401346154,-0.170228340134423,-0.378291493076923,-0.383676120961538,-0.507404512692308,-0.200624503730769,0.159239938555769,0.127416241121154,0.243222181771154,-0.318801022711538,-0.316870715576923,-0.513797480384615,-0.602581618269231,-0.513891953269231,-0.322337536730769,-0.562714528653846,-0.624351923653846,0.161672988528846,-0.0980840496143461,-0.317113487115385,-0.510253995769231,-0.0980840496143461,-0.37942877,-0.294542266826923,-0.599866472692308,-0.37942877,-0.203733615519231,-0.489725811538462
10,"TEST",53,1,"WALKING",0.278574076603774,0.278574076603774,-0.017022351190566,-0.0227431651698113,-0.0838277013962264,0.0549276242264151,-0.957862728301887,-0.0162953195396226,-0.511662905849057,0.0986695731160377,-0.174524868603774,-0.0611262928849057,-0.329079492641509,0.0533911909886792,-0.129775706316981,0.243797496811321,0.0309052018326415,0.0484867672264151,-0.148445687402076,-0.345209034528302,-0.204392821584906,-0.122109929924528,-0.109057512132076,-0.395645072075472,-0.974435158113208,0.0857943809283019,-0.0521991013207547,0.0106894976215094,-0.414205475283019,-0.122709563462264,-0.366063723207547,-0.41218272245283,-0.435304215660377,0.25896796635283,-0.464020508867925,-0.558512650188679,0.0557990906603774,-0.108530029881132,-0.273292866226415,-0.129800372109434,0.278574076603774,-0.178709734396226,0.963092149811321,-0.971114719811321,0.00408248792641509,0.0750804952113207,-0.0819540783760943,-0.250853318679245,-0.0519204981037736,-0.509683327924528,-0.114190001283019,-0.206366497226415,-0.26332591785283,-0.107941107467924,-0.0791518267107547,-0.260130638807547,-0.277913780754717,-0.458292932830189,-0.0933671419018868,-0.0712853941698113,0.129100106828302,-0.000234019224528298,-0.0930237422792453,0.0205189516981132,-0.412616909622641,-0.515065335849057,-0.370471943962264,0.0502087634986792,-0.499759796981132,-0.517675799056604,0.179599864783019,-0.127400912069811,0.037608338009434,-0.440363636603774,-0.127400912069811,-0.185602396067925,-0.156458730358491,-0.501027916603774,-0.185602396067925,-0.132624992298283,-0.402025135660377
